date,market_price_usd,tx_volume_usd,tx_count,hash_rate,avg_tx_value_usd,price_change_pct,price_7d_avg,price_30d_avg,volume_7d_avg,year,month
2024-02-19,52128.57,4823413490.972352,366108.0,552511789.8013868,92579.36385569004,,52128.57,52128.57,4823413490.97,2024,2
2024-02-20,51782.08,8084102403.71277,397096.0,572824723.2499672,155974.16975119,-0.6647,51955.32,51955.32,6453757947.34,2024,2
2024-02-21,52269.58,8039334308.491749,369949.0,560636963.180819,156717.58651566,0.9414,52060.08,52060.08,6982283401.06,2024,2
2024-02-22,51862.86,8872259885.789461,365090.0,548449203.1116709,172024.47139167003,-0.7781,52010.77,52010.77,7454777522.24,2024,2
2024-02-23,51303.43,7894519042.487277,409204.0,645951283.6648567,154642.81657571995,-1.0787,51869.3,51869.3,7542725826.29,2024,2
2024-02-24,50727.66,3416208944.371803,340419.0,556574376.491103,66746.01973465,-1.1223,51679.03,51679.03,6854973012.64,2024,2
2024-02-25,51559.99,2336779584.3757186,418801.0,666264217.113437,45243.21474472999,1.6408,51662.02,51662.02,6209516808.6,2024,2
2024-02-26,51727.76,7973852984.805449,356184.0,540324029.7322387,150876.54419182,0.3254,51604.77,51670.24,6659579593.43,2024,2
2024-02-27,54529.54,12309674248.943565,387598.0,524073682.9733743,217891.28305998002,5.4164,51997.26,51987.94,7263232714.18,2024,2
2024-02-28,57075.01,17690707393.755234,413800.0,605325416.7676959,293796.70800273,4.6681,52683.75,52496.65,8642000297.79,2024,2
2024-02-29,62498.79,15960554472.385185,407090.0,540324029.7322387,257066.23534256002,9.5029,54203.17,53405.93,9654613810.16,2024,2
2024-03-01,61172.49,15155004614.209974,419284.0,608054004.3789,244958.43239796988,-2.1221,55613.03,54053.15,10691826034.69,2024,3
2024-03-02,62437.0,3495344246.4389367,339311.0,500960510.12181586,56427.36408145998,2.0671,57285.8,54698.06,10703131077.84,2024,3
2024-03-03,62033.66,3175882955.33311,385447.0,611408496.6053661,51087.47155285001,-0.646,58782.04,55222.03,10823002987.98,2024,3
2024-03-04,63168.4,14721280340.494514,361258.0,508849652.01349825,222866.0078484802,1.8292,60416.41,55751.79,11786921181.65,2024,3
2024-03-05,68377.67,19156443673.329258,424347.0,658743347.9554589,292116.82077567995,8.2466,62394.72,56540.91,12765031099.42,2024,3
2024-03-06,63797.73,19598765884.1782,381934.0,552239932.41775,297300.96451121,-6.698,63355.11,56967.78,13037610883.77,2024,3
2024-03-07,66102.23,15234928433.510197,436344.0,710022770.2513928,227722.10244712004,3.6122,63869.88,57475.25,12933950021.07,2024,3
2024-03-08,66937.0,15049636665.76224,426928.0,607463925.659525,221418.52248269992,1.2628,64693.38,57973.23,12918897457.01,2024,3
2024-03-09,68306.9,4704779112.537283,359029.0,642965064.1720946,69037.53327066,2.0466,65531.94,58489.92,13091673866.45,2024,3
2024-03-10,68499.42,5757164174.643835,368196.0,564073645.2552733,83170.59843322003,0.2818,66455.62,58966.56,13460428326.35,2024,3
2024-03-11,69026.97,18287980135.98232,394098.0,670577060.7929822,255720.48297887994,0.7702,67292.56,59423.85,13969956868.56,2024,3
2024-03-12,72121.18,16249318406.90542,341867.0,556184503.3635911,227491.09622354998,4.4826,67827.35,59975.91,13554653259.07,2024,3
2024-03-13,71489.22,19749038369.964565,390118.0,631131351.3345715,271429.6116228299,-0.8762,68926.13,60455.63,13576120757.04,2024,3
2024-03-14,73094.37,16402381871.931147,329706.0,579720256.0482558,228371.35267339996,2.2453,69925.01,60961.18,13742899819.68,2024,3
2024-03-15,71394.36,14316113749.467398,307904.0,529980321.6844611,208531.83605353,-2.3258,70561.77,61362.46,13638110831.63,2024,3
2024-03-16,69495.88,4543880223.851563,355760.0,600922569.4689952,66585.70707163995,-2.6591,70731.63,61663.69,13615125276.11,2024,3
2024-03-17,65303.67,6585683552.700839,366109.0,609268716.2671757,97980.96351848997,-6.0323,70275.09,61793.69,13733485187.26,2024,3
2024-03-18,68358.87,11933590441.311108,416270.0,600922569.4689952,176248.88823467004,4.6785,70179.65,62020.08,12825715230.88,2024,3
2024-03-19,67601.19,13678549274.503231,463952.0,655172523.6571684,212804.20952647008,-1.1084,69533.94,62206.12,12458462497.68,2024,3
2024-03-20,61919.44,10724289256.435526,361515.0,621787936.4644464,167309.70994751994,-8.4048,68166.83,62532.48,11169212624.31,2024,3
